Entity,Code,Year,Productivity: output per hour worked
Ireland,IRL,1983,19.558456
Ireland,IRL,1984,20.572546
Ireland,IRL,1985,20.62267
Ireland,IRL,1986,21.63599
Ireland,IRL,1987,23.224161
Ireland,IRL,1988,24.035942
Ireland,IRL,1989,25.458107
Ireland,IRL,1990,26.439726
Ireland,IRL,1991,27.536348
Ireland,IRL,1992,30.136293
Ireland,IRL,1993,31.908913
Ireland,IRL,1994,32.412807
Ireland,IRL,1995,35.50946
Ireland,IRL,1996,37.13154
Ireland,IRL,1997,40.08107
Ireland,IRL,1998,41.376198
Ireland,IRL,1999,42.902386
Ireland,IRL,2000,46.069473
Ireland,IRL,2001,48.288296
Ireland,IRL,2002,53.845882
Ireland,IRL,2003,58.170265
Ireland,IRL,2004,59.9059
Ireland,IRL,2005,62.796043
Ireland,IRL,2006,62.327534
Ireland,IRL,2007,66.14504
Ireland,IRL,2008,64.22194
Ireland,IRL,2009,67.34492
Ireland,IRL,2010,74.460724
Ireland,IRL,2011,76.79019
Ireland,IRL,2012,78.489105
Ireland,IRL,2013,76.15627
Ireland,IRL,2014,79.81215
Ireland,IRL,2015,100.3916
Ireland,IRL,2016,105.04378
Ireland,IRL,2017,109.488304
Ireland,IRL,2018,112.76292
Ireland,IRL,2019,125.09254
Israel,ISR,1981,25.199104
Israel,ISR,1982,25.77843
Israel,ISR,1983,26.18268
Israel,ISR,1984,26.192846
Israel,ISR,1985,26.883018
Israel,ISR,1986,28.37297
Israel,ISR,1987,30.024689
Israel,ISR,1988,30.745424
Israel,ISR,1989,29.520636
Israel,ISR,1990,31.83879
Israel,ISR,1991,33.014473
Israel,ISR,1992,33.459423
Israel,ISR,1993,33.239883
Israel,ISR,1994,32.52806
Israel,ISR,1995,33.056637
Israel,ISR,1996,33.89172
Israel,ISR,1997,34.920345
Israel,ISR,1998,36.30148
Israel,ISR,1999,37.191696
Israel,ISR,2000,39.284286
Israel,ISR,2001,40.261395
Israel,ISR,2002,39.768715
Israel,ISR,2003,38.233845
Israel,ISR,2004,38.01697
Israel,ISR,2005,37.394157
Israel,ISR,2006,36.933624
Israel,ISR,2007,35.61613
Israel,ISR,2008,34.43854
Israel,ISR,2009,35.472633
Israel,ISR,2010,36.304157
Israel,ISR,2011,37.192833
Israel,ISR,2012,38.331303
Israel,ISR,2013,39.498203
Israel,ISR,2014,39.54524
Israel,ISR,2015,40.402554
Israel,ISR,2016,41.430664
Israel,ISR,2017,41.02011
Israel,ISR,2018,40.3151
Israel,ISR,2019,40.870785
Italy,ITA,1950,5.0973253
Italy,ITA,1951,5.529937
Italy,ITA,1952,5.6422157
Italy,ITA,1953,5.9650664
Italy,ITA,1954,6.121146
Italy,ITA,1955,6.520286
Italy,ITA,1956,6.725706
Italy,ITA,1957,6.957694
Italy,ITA,1958,7.218494
Italy,ITA,1959,7.7035327
Italy,ITA,1960,8.376799
Italy,ITA,1961,9.090406
Italy,ITA,1962,9.854922
Italy,ITA,1963,10.556045
Italy,ITA,1964,10.92292
Italy,ITA,1965,11.839702
Italy,ITA,1966,12.59563
Italy,ITA,1967,13.180837
Italy,ITA,1968,14.087964
Italy,ITA,1969,15.063651
Italy,ITA,1970,17.194502
Italy,ITA,1971,18.077612
Italy,ITA,1972,19.214191
Italy,ITA,1973,20.785011
Italy,ITA,1974,22.29254
Italy,ITA,1975,22.205618
Italy,ITA,1976,24.217577
Italy,ITA,1977,25.867733
Italy,ITA,1978,27.44275
Italy,ITA,1979,29.704462
Italy,ITA,1980,31.238718
Italy,ITA,1981,30.652529
Italy,ITA,1982,29.897789
Italy,ITA,1983,29.369656
Italy,ITA,1984,29.914227
Italy,ITA,1985,29.993383
Italy,ITA,1986,31.567087
Italy,ITA,1987,32.817375
Italy,ITA,1988,33.76746
Italy,ITA,1989,35.157635
Italy,ITA,1990,36.40853
Italy,ITA,1991,37.00646
Italy,ITA,1992,37.897182
Italy,ITA,1993,38.85644
Italy,ITA,1994,40.806324
Italy,ITA,1995,42.764477
Italy,ITA,1996,43.20181
Italy,ITA,1997,45.140743
Italy,ITA,1998,46.576984
Italy,ITA,1999,47.538704
Italy,ITA,2000,48.2648
Italy,ITA,2001,47.548306
Italy,ITA,2002,46.23609
Italy,ITA,2003,45.945816
Italy,ITA,2004,45.94257
Italy,ITA,2005,47.60363
Italy,ITA,2006,48.333866
Italy,ITA,2007,49.925472
Italy,ITA,2008,51.43633
Italy,ITA,2009,51.19159
Italy,ITA,2010,52.05406
Italy,ITA,2011,53.21145
Italy,ITA,2012,53.286415
Italy,ITA,2013,53.77871
Italy,ITA,2014,53.765285
Italy,ITA,2015,53.381702
Italy,ITA,2016,54.944733
Italy,ITA,2017,56.27207
Italy,ITA,2018,56.152653
Italy,ITA,2019,56.090836
Jamaica,JAM,1986,6.569074
Jamaica,JAM,1987,6.9643955
Jamaica,JAM,1988,7.0113463
Jamaica,JAM,1989,6.8468513
Jamaica,JAM,1990,7.360053
Jamaica,JAM,1991,7.0897293
Jamaica,JAM,1992,7.4436655
Jamaica,JAM,1993,8.020387
