Country,Adults,Mean,Median,Ten,Hundred,Hundredthou,Mil,Gini
Libya,4517.00,9732.00,3830.00,80.30,18.90,0.80,0.00,76.00
Lithuania,2140.00,63508.00,28407.00,29.70,58.60,11.20,0.50,72.00
Luxembourg,504.00,657564.00,350271.00,12.00,16.90,54.80,16.20,66.30
Madagascar,14273.00,2118.00,618.00,96.70,3.20,0.10,0.00,82.10
Malawi,9209.00,2378.00,601.00,95.70,4.10,0.10,0.00,84.50
Malaysia,22727.00,27078.00,8023.00,57.40,39.00,3.40,0.20,83.00
Maldives,407.00,21459.00,6823.00,62.70,33.30,3.90,0.10,80.80
Mali,8921.00,2629.00,862.00,95.80,4.00,0.10,0.00,80.00
Malta,359.00,162581.00,97524.00,11.60,39.50,47.30,1.60,61.10
Mauritania,2443.00,2938.00,1127.00,94.80,5.10,0.10,0.00,75.80
Mauritius,976.00,65031.00,29296.00,29.90,55.60,14.10,0.50,71.60
Mexico,86570.00,48138.00,15684.00,43.50,46.90,9.30,0.40,80.40
Moldova,3182.00,18392.00,9095.00,53.80,43.70,2.40,0.10,69.10
Mongolia,2076.00,7310.00,2902.00,84.80,14.50,0.60,0.00,74.20
Montenegro,477.00,75759.00,40163.00,26.10,53.90,19.50,0.50,68.10
Morocco,24652.00,15164.00,4226.00,76.20,21.40,2.30,0.10,82.40
Mozambique,14687.00,1117.00,469.00,98.40,1.60,0.00,0.00,75.00
Myanmar,36281.00,7112.00,3364.00,86.50,13.00,0.50,0.00,68.00
Namibia,1404.00,22369.00,5311.00,72.60,22.60,4.70,0.10,86.80
Nepal,18548.00,4189.00,1448.00,93.30,6.40,0.30,0.00,78.80
Netherlands,13527.00,400828.00,142994.00,13.70,28.00,49.80,8.50,75.00
New Zealand,3634.00,472153.00,231257.00,20.60,16.80,53.00,9.60,70.00
Nicaragua,4185.00,13523.00,3606.00,76.20,22.10,1.60,0.10,81.30
Niger,10134.00,1420.00,565.00,98.30,1.70,0.00,0.00,73.80
Nigeria,98681.00,7618.00,1722.00,90.40,8.70,0.90,0.00,86.00
Norway,4225.00,334432.00,132482.00,27.40,17.20,49.80,5.60,79.40
Oman,3810.00,40962.00,9343.00,52.10,41.60,6.00,0.40,88.00
Pakistan,126601.00,6237.00,2518.00,88.60,10.90,0.50,0.00,74.00
Panama,2900.00,49935.00,13556.00,44.60,45.70,9.30,0.40,81.90
Papua New Guinea,5068.00,8449.00,2282.00,90.00,8.50,1.40,0.00,84.30
Paraguay,4535.00,12078.00,3937.00,78.30,20.40,1.30,0.10,81.50
Peru,22795.00,20940.00,6148.00,63.90,33.10,2.90,0.10,80.00
Philippines,68428.00,14502.00,2772.00,84.60,13.40,1.90,0.10,87.30
Poland,30244.00,50426.00,16640.00,26.70,63.30,9.70,0.30,71.60
Portugal,8338.00,154377.00,66029.00,23.00,43.80,31.30,1.90,70.60
Qatar,2428.00,183106.00,100014.00,10.50,39.50,48.50,1.50,58.60
Romania,15123.00,42351.00,20389.00,35.00,57.40,7.30,0.20,69.60
Russia,111419.00,34005.00,6919.00,66.90,29.40,3.40,0.30,88.00
Rwanda,6780.00,4179.00,1231.00,92.50,7.20,0.30,0.00,81.80
Samoa,107.00,17396.00,6090.00,67.20,30.10,2.60,0.10,77.70
Sao Tome and Principe,107.00,4610.00,1987.00,90.70,9.00,0.30,0.00,73.40
Saudi Arabia,24558.00,84407.00,19323.00,45.00,43.60,10.00,1.30,86.40
Senegal,8231.00,5001.00,1675.00,90.60,9.00,0.30,0.00,79.70
Serbia,5466.00,32816.00,14877.00,41.60,52.60,5.70,0.10,71.30
Seychelles,69.00,57619.00,23190.00,37.30,51.80,10.40,0.50,76.00
Sierra Leone,4045.00,799.00,352.00,99.30,0.70,0.00,0.00,73.20
Singapore,4932.00,358204.00,93133.00,16.00,36.20,41.80,6.10,78.80
Slovakia,4344.00,63493.00,41935.00,11.80,73.20,14.80,0.10,50.50
Slovenia,1670.00,107476.00,60956.00,18.30,53.50,27.40,0.80,65.20
Solomon Islands,357.00,15596.00,4718.00,75.00,21.80,3.10,0.10,81.40
South Africa,38133.00,24601.00,5252.00,72.30,22.80,4.70,0.20,88.60
Spain,37825.00,222888.00,104163.00,16.60,32.20,48.20,3.00,69.10
Sri Lanka,14846.00,27040.00,9813.00,50.70,44.30,4.80,0.10,77.00
St. Lucia,140.00,27268.00,8407.00,55.10,40.50,4.30,0.20,81.30
